title,genres,overview
The Shawshank Redemption,Motivational,A prisoner escapes prison after years of careful planning.
Inception,Sci-Fi/Thriller,A thief infiltrates dreams to implant an idea in someone's mind.
The Dark Knight,Action/Crime,Batman fights the Joker to save Gotham City.
Forrest Gump,Drama/Motivational,A man's simple life turns into extraordinary adventures.
The Godfather,Crime/Drama,A mafia boss passes his empire to his reluctant son.
Interstellar,Sci-Fi/Adventure,A team of explorers travel through a wormhole to find a new home for humanity.
The Lion King,Animation/Adventure,A lion prince overcomes adversity to reclaim his throne.
Gladiator,Action/Drama,A betrayed general seeks revenge in the Roman Empire.
Titanic,Romance/Drama,A young couple's love blossoms on the doomed ocean liner.
Schindler's List,Historical/Drama,A businessman saves Jews during the Holocaust.
The Matrix,Sci-Fi/Action,A hacker discovers the true nature of his reality.
The Avengers,Action/Adventure,Earth’s mightiest heroes team up to fight an alien invasion.
Saving Private Ryan,War/Drama,A squad is sent to rescue a soldier during WWII.
Toy Story,Animation/Comedy,Toys come to life when humans aren't around.
The Silence of the Lambs,Thriller/Crime,An FBI trainee seeks the help of a cannibal to catch a serial killer.
Pulp Fiction,Crime/Comedy,Interweaving stories of crime and redemption.
The Pursuit of Happyness,Motivational/Drama,A man struggles to provide for his son and pursue his dreams.
The Grand Budapest Hotel,Comedy/Drama,A concierge and his protégé become embroiled in a heist.
The Sixth Sense,Horror/Thriller,A boy who can see ghosts is helped by a psychologist.
Parasite,Thriller/Drama,A poor family infiltrates a wealthy household.
Jurassic Park,Adventure/Sci-Fi,Dinosaurs are brought back to life in a theme park.
Fight Club,Drama/Thriller,A man starts a secret club that spirals out of control.
The Notebook,Romance/Drama,A love story that withstands the test of time.
Finding Nemo,Animation/Adventure,A clownfish searches the ocean for his lost son.
Avengers: Endgame,Action/Sci-Fi,The Avengers attempt to reverse the damage caused by Thanos.
Black Panther,Action/Adventure,A king must defend his kingdom from a powerful adversary.
Django Unchained,Western/Drama,A freed slave seeks revenge in the Old West.
The Social Network,Biography/Drama,The story of the creation of Facebook.
La La Land,Musical/Romance,Two aspiring artists navigate love and ambition in Los Angeles.
Braveheart,Historical/Drama,A Scotsman leads a rebellion against England.
The Departed,Crime/Thriller,An undercover cop and a mole struggle within the police and mob.
Mad Max: Fury Road,Action/Adventure,Survivors fight for survival in a post-apocalyptic desert.
The Green Mile,Drama/Fantasy,A death row guard encounters a man with healing powers.
A Beautiful Mind,Biography/Drama,The story of a brilliant mathematician with schizophrenia.
Cast Away,Drama/Adventure,A man stranded on an island struggles for survival.
Iron Man,Action/Sci-Fi,A billionaire builds a high-tech suit to save the world.
The Exorcist,Horror,A mother seeks help for her possessed daughter.
The Prestige,Mystery/Thriller,Rival magicians attempt to outdo each other.
Goodfellas,Crime/Drama,The life story of a gangster in the mafia.
12 Years a Slave,Biography/Drama,A free man is kidnapped into slavery.
Her,Sci-Fi/Romance,A man falls in love with an AI operating system.
The Revenant,Adventure/Drama,A frontiersman seeks vengeance after being left for dead.
The Big Lebowski,Comedy,A slacker gets entangled in a mistaken identity case.
Whiplash,Drama,A young drummer is pushed to his limits by an abusive instructor.
Spider-Man: Into the Spider-Verse,Animation/Action,Teenagers from different dimensions team up.
Logan,Action/Drama,A weary Wolverine cares for ailing Professor X in a dystopian future.
Coco,Animation/Fantasy,A boy discovers his family's heritage in the Land of the Dead.
Get Out,Horror/Thriller,A man uncovers dark secrets while visiting his girlfriend’s family.
The Truman Show,Comedy/Drama,A man discovers his life is a reality show.
The Wolf of Wall Street,Biography/Comedy,The rise and fall of a stockbroker.
